filename,cwas_number,date,text,confidence,language,processing_time,file_size,dimensions,character_count,timestamp
CWAS_0002.jpg,,,"Etymology It derives from ""կաթլակ"" (small drop), the diminutive form of Centre for Western Armenian Studies Արեւմտահայագիտական Ուսմանց Կեդրոն",91.42105263157895,eng+hye,1.5431573390960693,147045,2048x2048,141,2026-02-18T12:42:15.687608
CWAS_0006.jpg,,,"Centre for Western Armenian Studies Արեւմտահայագիտական Ուսմանց Կեդրոն Ատել To hate The «Word of the Day» is the intellectual property of the Centre for Western Armenian Studies, and any use of it on other platforms or in any other circumstances requires the permission of the Centre.",94.80434782608695,eng+hye,1.5821645259857178,181639,2048x2048,283,2026-02-18T12:42:15.727589
CWAS_0008.jpg,,,"Etymology It originates from the Bahlavi ""vard"", from where the Assyrian word “varda"" and Arabic “warda"" also originate. Centre for Western Armenian Studies Արեւմտահայագիտական Ուսմանց Կեդրոն",87.53846153846153,eng+hye,1.6386420726776123,158002,2048x2048,190,2026-02-18T12:42:15.785065
CWAS_0005.jpg,,,"Word breakdown ատ + ել ""Ատ"" derives from Indo-European sources. ""Ել"" is the verb ending of the first group of verbs. Centre for Western Armenian Studies Արեւմտահայագիտական Ուսմանց Կեդրոն",93.06896551724138,eng+hye,1.6446418762207031,159046,2048x2048,186,2026-02-18T12:42:15.790066
CWAS_0003.jpg,,,"Centre for Western Armenian Studies Արեւմտահայագիտական Ուսմանց Կեդրոն Կայլան Drop (formal) The «Word of the Day» is the intellectual property of the Centre for Western Armenian Studies, and any use of it on other platforms or in any other circumstances requires the permission of the Centre.",94.0,eng+hye,1.6846740245819092,189495,2048x2048,291,2026-02-18T12:42:15.829125
CWAS_0007.jpg,,,Declension Singular Plural Վարդ Վարդեր Վարդի Վարդերու Վարդէ Վարդերէ Վարդով Example Վարդի ո՞ր տեսակը կը սիրես: Which type of rose do you like? Centre for Western Armenian Studies Արեւմտահայագիտական Ուսմանց Կեդրոն,90.90322580645162,eng+hye,1.849078893661499,169403,2048x2048,211,2026-02-18T12:42:15.994503
CWAS_0001.jpg,,,Declension Singular Plural Կայլակ Կայլակներ Կայլակի Կայլակներու ԿայլակԷ ԿայլակներԷ J Կայլակով Կայլակներուվ Example Կայլակ մը կախուած Էր վարդի փերթէն: A drop hung from the petal of the rose. Centre for Western Armenian Studies Արեւմտահայագիտական Ուսմանց Կեդրոն,89.61111111111111,eng+hye,1.9991869926452637,178002,2048x2048,259,2026-02-18T12:42:16.143638
CWAS_0004.jpg,,,"Conjugation Present tense & Present tense negation & Past tense (negation) Immediate present tense Immediate present tense negation Singular Singular Singular Կ'ատեմ (կոր) Չեմ ատեր (կոր) (Ձատեցի Կ'ատես (կոր) Չես ատեր (կոր) (Ձատեցիր Կ'ատէ (կոր) Ձ'ատեր (կոր) (Ձատեց Plural Plural Plural Կ'ատենք (կոր) ՉԵնք ատեր (կոր) (Ձատեցինք Կ'ատէք (կոր) QEp ատեր (կոր) (Ձատեցիք Կ'ատեն (կոր) Չեն ատեր (կոր) (Ձատեցին Example Ես զինք կը Կիրեմ, բայց քեզ կ'ատեմ: | love him/her, but | hate you. Centre for Western Armenian Studies Արեւմտահայագիտական Ուսմանց Կեդրոն",90.08536585365853,eng+hye,2.623523473739624,272425,2048x2048,543,2026-02-18T12:42:16.767974
CWAS_0010.jpg,,,"Word breakdown փակ + արան ""Փակ"" means ""closed"". ""Արան"" is a suffix which denotes place. Centre for Western Armenian Studies Արեւմտահայագիտական Ուսմանց Կեդրոն",92.04347826086956,eng+hye,1.4676175117492676,150966,2048x2048,157,2026-02-18T12:42:17.196205
CWAS_0009.jpg,,,"Centre for Western Armenian Studies Արեւմտահայագիտական Ուսմանց Կեդրոն Վարդ Rose The «Word of the Day» is the intellectual property of the Centre for Western Armenian Studies, and any use of it on other platforms or in any other circumstances requires the permission of the Centre.",95.57777777777778,eng+hye,1.5087904930114746,179665,2048x2048,280,2026-02-18T12:42:17.197203
